feature,importance
E87-23-5-19760,0.12068354444989962
P140-169030,0.11467200461425364
E87-7-5-85410,0.0726112699289154
E87-27-DCM-vDNA-15635,0.07159055050899046
P120-19770,0.06923712539634788
E87-27-5m-vDNA-62261,0.06013005261716474
E87-18-OMZ-DNA-15689,0.03891950605537311
P140-12485,0.03485627124330073
P170-109439,0.030715291907468655
E85-1-5M-DNA-223521,0.028122515167478986
E87-27-DCM-vDNA-84540,0.0222238030410999
E87-27-DCM-vDNA-274007,0.020616176671354763
E87-27-5m-vDNA-52003,0.019977443877284073
Black1_50-11375,0.017617995879102014
E87-27-DCM-vDNA-153701,0.016474905173546283
EQ-6-DCM-vDNA-18780,0.013314718090878794
Black-Sea-Oct19-301-5m-78241,0.012637313650471582
E87-27-DCM-DNA-76368,0.012063837865417709
P140-30505,0.011642491682039277
E87-27-5m-DNA-162399,0.009083515558114694
E85-1-5M-vDNA-84688,0.008536704044175307
F140-8212,0.008457042351304787
E87-27-DCM-vDNA-57344,0.008335911300082788
E87-27-DCM-vDNA-100560,0.008155423811207574
EQ-6-DCM-vDNA-70673,0.007321738995918121
P140-36901,0.007233507360934382
F140-36142,0.007218772528433862
P140-28179,0.006819210492699079
P140-41174,0.006806780148111081
E87-27-DCM-vDNA-62178,0.005850275271959781
E87-18-OMZ-DNA-198529,0.005439337039607635
P170-35547,0.005149328705442678
F140-35991,0.005114038246536764
E87-27-5m-vDNA-63693,0.005059784062679862
P140-6308,0.005047343344413594
E87-25-DCM-68431,0.004745116143161216
EQ-6-DCM-vDNA-72329,0.004608372909728931
E87-27-5m-DNA-19604,0.00418275569537574
E87-27-5m-vDNA-25198,0.004139469881226849
E87-27-DCM-vDNA-68154,0.003919246775217999
P140-76537,0.003799001206114001
E85-1-5M-DNA-243784,0.003311061515647881
P140-15169,0.0031983912191475734
EQ-6-DCM-DNA-288872,0.003138690313254781
P170-3294,0.0031143070056471084
P140-80534,0.0029245383423584428
Black-Sea-Oct19-307-30m-10352,0.00276392160663938
F140-12602,0.0025424026013321876
EQ-6-DCM-vDNA-54275,0.002526954002380235
E87-27-5m-vDNA-85273,0.002475958202466326
EQ-6-DCM-vDNA-172464,0.0023647701064084398
E87-27-DCM-vDNA-361630,0.0023558165036612795
E87-27-DCM-DNA-84166,0.002353073398118413
P140-122143,0.002308097387402474
EQ-6-DCM-DNA-74217,0.0022752083213655916
E87-27-5m-vDNA-164184,0.002227537908303334
P140-11322,0.0022031637025411058
P170-89674,0.002164514633886487
F140-19781,0.0020596191176150288
BHO30m-m-15565,0.0019240012502829073
P170-165886,0.0018602262626219617
P140-68695,0.0018360469471351193
E85-1-5M-vDNA-67678,0.001656558361106448
P170-32720,0.0016303112618035861
E85-1-5M-vDNA-63335,0.0015921953916293004
EQ-6-5m-DNA-46645,0.0014685151993319263
E87-27-DCM-DNA-78605,0.001463361477724384
E87-27-5m-DNA-210094,0.0014116053621365777
EQ-6-DCM-vDNA-172780,0.0014110042532772032
F140-7376,0.0010923954815704462
E85-1-5M-vDNA-128225,0.0010500656003984647
BHO30m-m-28451,0.001008620936778205
F140-9466,0.0009858834909531764
P170-50407,0.0008984095140812851
E87-27-5m-vDNA-74857,0.0008758928758925712
F170-5152,0.0008149465258360642
F140-33678,0.0008148624453823564
E87-27-DCM-vDNA-146241,0.0007999416871963736
P140-29442,0.0007776421531826319
E87-27-DCM-vDNA-402666,0.0007064210384868775
P140-42980,0.0006320364031992432
E85-1-5M-vDNA-162336,0.0006156908749486041
E87-27-DCM-vDNA-449702,0.0006015691526923949
1m-YBH-520,0.0005690293687758979
P140-7263,0.0004952112291545418
E87-27-DCM-vDNA-87128,0.00033800817476224785
E87-27-DCM-vDNA-401155,0.0003152690970262476
E87-27-DCM-vDNA-333294,0.00024407170914451045
E87-27-DCM-vDNA-89943,0.00015682430218470157
P140-35742,0.00014669818736598575
E87-27-5m-vDNA-53781,0.00011106590348673467
E87-27-5m-DNA-14888,8.627904479963609e-05
E85-1-5M-vDNA-30117,5.240599242817628e-05
F140-16072,3.933277891649701e-05
E87-27-DCM-vDNA-55825,3.6765897968004267e-05
E87-27-5m-vDNA-24669,2.454928291111001e-05
P140-151373,8.766152735107767e-06
P140-57797,7.078293388360156e-06
E87-27-DCM-vDNA-11532,1.6934615865511499e-06
F140-8788,1.227594707223069e-06
